symbol,period_1,period_2,period_3,period_4,period_5,eps_1,eps_2,eps_3,eps_4,eps_5,streak_flag,last_price,last_price_date
ADVANC,2025Q2,2025Q1,2024Q3,2024Q2,2024Q1,3.69,3.56,2.95,2.89,2.84,True,300.0,2025-10-21
BTG,2025Q2,2025Q1,2024Q3,2024Q2,2024Q1,1.34,0.98,0.51,0.32,-0.06,True,16.5,2025-10-21
CBG,2025Q2,2025Q1,2024Q3,2024Q2,2024Q1,0.8,0.76,0.74,0.69,0.63,True,46.0,2025-10-21
CPF,2025Q2,2025Q1,2024Q3,2024Q2,2024Q1,1.31,1.07,0.91,0.86,0.11,True,21.8,2025-10-21
DITTO,2025Q2,2025Q1,2024Q3,2024Q2,2024Q1,0.24,0.21,0.2,0.18,0.16,True,12.0,2025-10-21
FSMART,2025Q2,2025Q1,2024Q3,2024Q2,2024Q1,0.21,0.2,0.15,0.13,0.12,True,7.5,2025-10-21
MCS,2025Q2,2025Q1,2024Q3,2024Q2,2024Q1,0.5,0.46,0.31,0.24,0.15,True,8.2,2025-10-21
MTC,2025Q2,2025Q1,2024Q3,2024Q2,2024Q1,0.78,0.74,0.7,0.68,0.66,True,41.0,2025-10-21
NCAP,2025Q2,2025Q1,2024Q3,2024Q2,2024Q1,0.11,0.1,0.05,0.04,0.02,True,3.0,2025-10-21
NTSC,2025Q2,2025Q1,2024Q3,2024Q2,2024Q1,0.23,0.21,0.18,0.16,0.12,True,6.0,2025-10-21
PLE,2025Q2,2025Q1,2024Q3,2024Q2,2024Q1,0.05,0.0,-0.16,-0.17,-0.18,True,0.2,2025-10-21
PRAKIT,2025Q2,2025Q1,2024Q3,2024Q2,2024Q1,-0.16,-0.22,-0.23,-0.27,-0.6,True,10.7,2025-10-20
TFG,2025Q2,2025Q1,2024Q3,2024Q2,2024Q1,0.44,0.35,0.22,0.14,0.03,True,4.76,2025-10-21
